categories,count
cs.CV,81655
cs.LG,124475
stat.ML,39661
cs.CL,38955
physics.comp-ph,10346
physics.class-ph,2373
stat.ME,13802
astro-ph.SR,20104
physics.optics,18416
physics.app-ph,13064
cs.SD,10218
cs.LO,6196
cs.AI,54772
cs.PL,3409
physics.atom-ph,5998
hep-ph,34122
physics.soc-ph,7354
cs.SI,9035
math.OA,3084
math.AG,14161
math.DG,11466
math.NA,18041
cond-mat.mtrl-sci,31032
math.FA,10422
math.CO,23408
cond-mat.supr-con,8858
cond-mat.str-el,19612
hep-ex,13664
astro-ph.EP,12129
math.LO,4423
cs.IT,16858
math.IT,16858
quant-ph,47631
stat.AP,9330
math.OC,24504
q-bio.QM,4478
cs.AR,2995
hep-th,33574
cond-mat.mes-hall,25983
q-bio.TO,877
q-bio.CB,594
cs.ET,2275
cs.NE,7345
cs.RO,21807
math.RT,7668
math.QA,3628
eess.IV,19337
math.DS,13035
cs.DB,3987
cs.DC,10890
math-ph,20298
math.MP,20298
math.NT,13991
math.SP,2882
math.PR,18493
math.CA,6444
nlin.PS,2630
cond-mat.stat-mech,16874
math.GT,6200
cs.NI,9275
gr-qc,28097
eess.SP,21285
cs.CC,3723
physics.bio-ph,5009
astro-ph.IM,12238
physics.space-ph,2704
math.AT,4923
astro-ph.HE,22056
math.RA,5225
cs.DS,9990
math.AP,23605
astro-ph.CO,18063
cs.IR,9756
cs.FL,2100
astro-ph.GA,25824
econ.TH,1936
nucl-th,11584
cs.CY,10617
nucl-ex,6378
econ.GN,3251
q-fin.EC,3251
cs.NA,17429
cs.CE,3233
physics.geo-ph,2942
physics.ins-det,7755
hep-lat,4941
math.ST,8946
stat.TH,8946
cs.HC,10823
cs.CG,2741
cs.GR,3764
cs.CR,19039
physics.chem-ph,8861
q-bio.NC,3904
q-bio.BM,1643
math.KT,1512
physics.plasm-ph,5997
cond-mat.soft,11158
q-bio.PE,4237
math.GR,6750
physics.flu-dyn,12173
cond-mat.quant-gas,6831
cs.MM,3684
eess.AS,11514
physics.acc-ph,2241
physics.data-an,3252
cond-mat.dis-nn,5705
math.CT,3126
cs.SE,8934
math.CV,5125
cs.DM,4906
q-fin.MF,1329
cs.SY,20189
math.SG,2264
math.AC,3676
math.GN,1684
physics.med-ph,3523
physics.ao-ph,2659
math.GM,1333
stat.CO,3828
math.MG,3742
math.HO,1251
q-bio.MN,931
cs.GT,5208
cs.MA,4543
nlin.SI,2317
cs.OH,407
cond-mat.other,2653
econ.EM,2554
nlin.CD,2930
q-bio.SC,352
cs.OS,397
cs.PF,1934
q-fin.ST,1249
nlin.CG,312
physics.ed-ph,1286
cs.SC,969
cs.DL,1878
physics.pop-ph,700
physics.hist-ph,1607
nlin.AO,2132
stat.OT,672
physics.gen-ph,1451
q-fin.PM,744
q-fin.CP,1048
q-fin.PR,509
q-fin.GN,747
q-fin.TR,690
q-fin.RM,905
eess.SY,19288
q-bio.GN,934
physics.atm-clus,694
cs.MS,880
q-bio.OT,388
cs.GL,85
astro-ph,1
